Date,A,SPY
2011-01-04 00:00:00-05:00,-0.25295257568359375,-0.05573272705078125
2011-01-05 00:00:00-05:00,-0.058380126953125,0.5252456665039062
2011-01-06 00:00:00-05:00,0.05188751220703125,-0.19895172119140625
2011-01-07 00:00:00-05:00,0.09079551696777344,-0.198944091796875
2011-01-10 00:00:00-05:00,0.38918304443359375,-0.127349853515625
2011-01-11 00:00:00-05:00,0.46698951721191406,0.35814666748046875
2011-01-12 00:00:00-05:00,0.12323570251464844,0.9151763916015625
2011-01-13 00:00:00-05:00,-0.10377883911132812,-0.16712188720703125
2011-01-14 00:00:00-05:00,0.1880931854248047,0.7401199340820312
2011-01-18 00:00:00-05:00,0.7069854736328125,0.17508697509765625
2011-01-19 00:00:00-05:00,-1.2453174591064453,-1.0106964111328125
2011-01-20 00:00:00-05:00,-0.09081268310546875,-0.135284423828125
2011-01-21 00:00:00-05:00,-0.11675262451171875,0.23077392578125
2011-01-24 00:00:00-05:00,0.42807960510253906,0.5809555053710938
2011-01-25 00:00:00-05:00,-0.0518798828125,0.0557098388671875
2011-01-26 00:00:00-05:00,-0.0778350830078125,0.39792633056640625
2011-01-27 00:00:00-05:00,-0.0778350830078125,0.25467681884765625
2011-01-28 00:00:00-05:00,-0.9534492492675781,-1.8065414428710938
2011-01-31 00:00:00-05:00,0.5513153076171875,0.7639846801757812
2011-02-01 00:00:00-05:00,0.14269447326660156,1.6393966674804688
2011-02-02 00:00:00-05:00,-0.5318584442138672,-0.1989898681640625
2011-02-03 00:00:00-05:00,-0.15566444396972656,0.23081207275390625
2011-02-04 00:00:00-05:00,1.2972087860107422,0.2944183349609375
2011-02-07 00:00:00-05:00,0.9404830932617188,0.6526107788085938
2011-02-08 00:00:00-05:00,-0.1751270294189453,0.47750091552734375
2011-02-09 00:00:00-05:00,-0.47997093200683594,-0.23871612548828125
2011-02-10 00:00:00-05:00,0.3697166442871094,0.039764404296875
2011-02-11 00:00:00-05:00,0.6615676879882812,0.628692626953125
2011-02-14 00:00:00-05:00,-0.14917373657226562,0.25466156005859375
2011-02-15 00:00:00-05:00,-1.3880195617675781,-0.33423614501953125
2011-02-16 00:00:00-05:00,0.5967121124267578,0.6685256958007812
2011-02-17 00:00:00-05:00,0.22701072692871094,0.318267822265625
2011-02-18 00:00:00-05:00,0.0,0.22283172607421875
2011-02-22 00:00:00-05:00,-0.9275016784667969,-2.1486892700195312
2011-02-23 00:00:00-05:00,-1.323150634765625,-0.6446533203125
2011-02-24 00:00:00-05:00,0.4540214538574219,-0.07160186767578125
2011-02-25 00:00:00-05:00,0.7848091125488281,1.1141433715820312
2011-02-28 00:00:00-05:00,-0.18160629272460938,0.6525726318359375
2011-03-01 00:00:00-05:00,-0.908050537109375,-1.7667160034179688
2011-03-02 00:00:00-05:00,0.5059165954589844,0.22283935546875
2011-03-03 00:00:00-05:00,0.8821010589599609,1.7985763549804688
2011-03-04 00:00:00-05:00,2.5490169525146484,-0.7958755493164062
2011-03-07 00:00:00-05:00,-0.5707721710205078,-0.82763671875
2011-03-08 00:00:00-05:00,0.0648651123046875,0.9151992797851562
2011-03-09 00:00:00-05:00,0.05188941955566406,-0.1511993408203125
2011-03-10 00:00:00-05:00,-0.7588710784912109,-1.9497528076171875
2011-03-11 00:00:00-05:00,0.29834938049316406,0.7162399291992188
2011-03-14 00:00:00-04:00,-0.3242950439453125,-0.6287078857421875
2011-03-15 00:00:00-04:00,-0.6615791320800781,-1.1857681274414062
2011-03-16 00:00:00-04:00,-0.9664192199707031,-1.8940658569335938
2011-03-17 00:00:00-04:00,0.07783126831054688,1.329010009765625
2011-03-18 00:00:00-04:00,0.31781768798828125,0.37007904052734375
2011-03-21 00:00:00-04:00,0.6550922393798828,1.5825653076171875
2011-03-22 00:00:00-04:00,-0.49294281005859375,-0.35967254638671875
2011-03-23 00:00:00-04:00,0.31133460998535156,0.29573822021484375
2011-03-24 00:00:00-04:00,0.1556682586669922,0.9911041259765625
2011-03-25 00:00:00-04:00,0.08431434631347656,0.31972503662109375
2011-03-28 00:00:00-04:00,-0.05189323425292969,-0.255767822265625
2011-03-29 00:00:00-04:00,0.3891639709472656,0.7033462524414062
2011-03-30 00:00:00-04:00,0.3437690734863281,0.72735595703125
2011-03-31 00:00:00-04:00,-0.2010669708251953,-0.1438751220703125
2011-04-01 00:00:00-04:00,0.23348426818847656,0.44757080078125
2011-04-04 00:00:00-04:00,-0.20106124877929688,0.0879364013671875
2011-04-05 00:00:00-04:00,0.3307819366455078,-0.01598358154296875
2011-04-06 00:00:00-04:00,-0.03241920471191406,0.33571624755859375
2011-04-07 00:00:00-04:00,-0.2724189758300781,-0.27176666259765625
2011-04-08 00:00:00-04:00,0.012975692749023438,-0.3676300048828125
2011-04-11 00:00:00-04:00,0.06485176086425781,-0.31970977783203125
2011-04-12 00:00:00-04:00,-0.03241729736328125,-0.7913284301757812
2011-04-13 00:00:00-04:00,1.0701904296875,-0.007965087890625
2011-04-14 00:00:00-04:00,0.02596282958984375,0.07988739013671875
2011-04-15 00:00:00-04:00,0.5642757415771484,0.3836669921875
2011-04-18 00:00:00-04:00,-0.5967235565185547,-1.1829605102539062
2011-04-19 00:00:00-04:00,0.10378265380859375,0.5994644165039062
2011-04-20 00:00:00-04:00,1.232339859008789,1.4307327270507812
2011-04-21 00:00:00-04:00,0.4540424346923828,0.5435104370117188
2011-04-25 00:00:00-04:00,-0.7523918151855469,-0.11187744140625
2011-04-26 00:00:00-04:00,0.7912940979003906,0.919158935546875
